ADM0_NAME,ADM1_NAME,year,month,ndvi,precip_mm,t2m_c,co_col_molm2,viirs_rad
Morocco,Meknès - Tafilalet,2018.0,12.0,0.2185874701576885,17.973162584782774,10.399448975020283,0.023694671275509775,0.39315335142979835
Morocco,Oriental,2018.0,12.0,0.19429702066316984,10.189673057180249,9.515314930569739,0.02422262354216292,0.5847185262791922
Morocco,Chaouia - Ouardigha,2019.0,1.0,0.5017932133898685,37.96370949146379,10.170121858559687,0.02888908603316533,1.105923519165135
Morocco,Doukkala - Abda,2019.0,1.0,0.4843845981479733,18.04143607614442,11.70606221357654,0.029933688353744634,0.8996564893724187
Morocco,Fès - Boulemane,2019.0,1.0,0.25337099410339914,29.75961627178585,5.927860656998293,0.02614823966783767,0.6665209977630144
Morocco,Gharb - Chrarda - Béni Hssen,2019.0,1.0,0.5936162958780523,63.9986271391445,10.92907040880871,0.031007335503340783,1.1437289175510128
Morocco,Grand Casablanca,2019.0,1.0,0.4904642615612108,40.68596574330915,11.598504057680005,0.03177052828481871,23.386853608076503
Morocco,Guelmim - Es-Semara,2019.0,1.0,0.10884119697523904,8.233016589079723,13.010472470464443,0.028115357120235898,0.1383680410341386
Morocco,Laâyoune - Boujdour - Sakia El Hamra,2019.0,1.0,0.09577384212572373,19.46885817537937,15.185430006547385,0.029976654385833433,0.14961225118771912
Morocco,Marrakech - Tensift - Al Haouz,2019.0,1.0,0.295991207187015,15.07818853234366,9.497484964881194,0.027677465781833777,0.6697847522921226
Morocco,Rabat - Salé - Zemmour - Zaer,2019.0,1.0,0.5563421282287738,48.24507588120761,9.39834027801395,0.029221701099583126,1.875918302979981
Morocco,Souss - Massa - Draâ,2019.0,1.0,0.19487290287888775,15.513313718330096,9.331915761078717,0.025691674994844784,0.32000958622219294
Morocco,Tadla - Azilal,2019.0,1.0,0.38753462520643567,32.90254475510449,5.692158575377235,0.025543969350946598,0.6194672367547537
Morocco,Tanger - Tétouan,2019.0,1.0,0.5775733978513296,57.0751896010084,9.575583500650579,0.02934939333244649,2.201339086616926
Morocco,Taza - Al Hoceima - Taounate,2019.0,1.0,0.3552772019957533,40.25678261668385,7.908402252613074,0.027789372322728403,0.6365239478271639
Morocco,Meknès - Tafilalet,2019.0,1.0,0.21668052533096974,20.558156880143194,7.528593061755729,0.025722813881524306,0.31457202380406174
Morocco,Oriental,2019.0,1.0,0.18875851947271902,17.955242072563227,6.8471068230826395,0.02652107714868586,0.5147504172649223
Morocco,Chaouia - Ouardigha,2019.0,2.0,0.4851675496763571,38.66735557469625,13.392316818777637,0.029018433442485926,1.1049094463985403
Morocco,Doukkala - Abda,2019.0,2.0,0.4476128132744357,25.004107620671036,14.169659570332973,0.030288862650649062,0.9113854388582754
Morocco,Fès - Boulemane,2019.0,2.0,0.25650889303184243,24.440253307986257,8.658724176880064,0.026551982256063623,0.6651711034654493
Morocco,Gharb - Chrarda - Béni Hssen,2019.0,2.0,0.6257021455862104,49.06046292476098,12.956433122210473,0.0314004627438545,1.1063254104539528
Morocco,Grand Casablanca,2019.0,2.0,0.5076831093819757,45.23499701061514,13.794782303869564,0.031898437524814985,23.571821406340863
Morocco,Guelmim - Es-Semara,2019.0,2.0,0.10352692960189502,6.358301930672156,16.070015883028965,0.028468229158463275,0.13787391204185329
Morocco,Laâyoune - Boujdour - Sakia El Hamra,2019.0,2.0,0.09454263462230321,11.16091701383234,17.557543668500625,0.030076832177586277,0.11812149357521727
Morocco,Marrakech - Tensift - Al Haouz,2019.0,2.0,0.26006936098211403,21.8872687028515,12.427138300119793,0.027865208979311547,0.6671376065430207
Morocco,Rabat - Salé - Zemmour - Zaer,2019.0,2.0,0.5728575620797182,41.80996740503115,12.054436509601741,0.02954167676174886,1.855066541003584
Morocco,Souss - Massa - Draâ,2019.0,2.0,0.17436173637361355,19.421340156337106,11.850501991799767,0.025901624435732826,0.33036731653063484
Morocco,Tadla - Azilal,2019.0,2.0,0.37350750026355,41.606255304951176,8.65272767024795,0.025602264097698474,0.6183337207301807
Morocco,Tanger - Tétouan,2019.0,2.0,0.5675391006342513,55.239647299933196,11.115496956169633,0.03015427722454656,2.1302209334806905
Morocco,Taza - Al Hoceima - Taounate,2019.0,2.0,0.36093750813336917,33.782159555056225,10.18511737476674,0.028302945732920647,0.6286927385920625
Morocco,Meknès - Tafilalet,2019.0,2.0,0.21570831047681086,21.81867566410254,10.003910747490924,0.026235905947132758,0.3282443582446981
Morocco,Oriental,2019.0,2.0,0.1764935710875548,10.161483326122207,8.943015631435296,0.02726931416613133,0.5312145523498523
Morocco,Chaouia - Ouardigha,2019.0,3.0,0.36080496464932804,34.780740514547524,15.995909419306528,0.03108629475088479,1.1706208121069925
Morocco,Doukkala - Abda,2019.0,3.0,0.3571123437540422,27.10013169837709,16.261397919629875,0.03218354085401459,1.00186892788179
Morocco,Fès - Boulemane,2019.0,3.0,0.24624256490314775,31.02672430028551,11.238548300202924,0.028413310460721538,0.7242199090068842
Morocco,Gharb - Chrarda - Béni Hssen,2019.0,3.0,0.5892708077808809,32.90249865789951,16.061865261107517,0.033418595602313944,1.2106826677973865
Morocco,Grand Casablanca,2019.0,3.0,0.3825149979895454,23.88764367052655,16.19390105525283,0.033641544315509475,24.569215538130173
Morocco,Guelmim - Es-Semara,2019.0,3.0,0.0987154424676243,7.310253261907114,18.773952736914115,0.030378769217204015,0.22179592659066535
Morocco,Laâyoune - Boujdour - Sakia El Hamra,2019.0,3.0,0.09252586692131905,19.401282590843337,17.384737254030988,0.03172296197248137,0.22470134584547183
Morocco,Marrakech - Tensift - Al Haouz,2019.0,3.0,0.24026105310524412,49.36932191841649,14.627216987893272,0.0297704544471772,0.7244188968955042
Morocco,Rabat - Salé - Zemmour - Zaer,2019.0,3.0,0.5055889606091403,34.70738259039661,15.126464209305146,0.0315695330996992,2.0654052980060067
Morocco,Souss - Massa - Draâ,2019.0,3.0,0.15956527329258713,38.987424142647356,14.239464658255798,0.027906860666474197,0.3840301561883139
Morocco,Tadla - Azilal,2019.0,3.0,0.3488591924748481,86.36376415197229,11.05850773985877,0.027646696377329333,0.6749737536446307
Morocco,Tanger - Tétouan,2019.0,3.0,0.5370134167399372,37.64026068728702,13.116780122527052,0.032187931064684414,2.173524236809432
Morocco,Taza - Al Hoceima - Taounate,2019.0,3.0,0.3434979125508219,36.212592536833256,12.60652344453084,0.0303548141078575,0.6761768893949496
Morocco,Meknès - Tafilalet,2019.0,3.0,0.20912312245474324,30.202409549019244,13.087596596491727,0.028068921593646167,0.3844346822153247
Morocco,Oriental,2019.0,3.0,0.17076121135536726,20.927417581652882,12.038608234110601,0.028847804831497455,0.573251999773772
Morocco,Chaouia - Ouardigha,2019.0,4.0,0.2725440630256559,39.74969543609666,15.549222817522182,0.033764160484896694,1.2907759493341957
Morocco,Doukkala - Abda,2019.0,4.0,0.2785502480717543,28.957927726850112,16.507285317481927,0.03526067433706126,1.0685698273726265
Morocco,Fès - Boulemane,2019.0,4.0,0.23542622316886133,44.958740038230125,12.02747650543653,0.030266813273254617,0.7839004319857531
Morocco,Gharb - Chrarda - Béni Hssen,2019.0,4.0,0.5058699035602173,58.672746982099056,16.084452843201365,0.03540276755284944,1.2467687681342912
Morocco,Grand Casablanca,2019.0,4.0,0.3018371202774782,21.62195608964806,16.222902578142108,0.03614936143405741,23.97844441142378
Morocco,Guelmim - Es-Semara,2019.0,4.0,0.09685224755206627,5.573709363665921,19.735042430489955,0.032936974685388656,0.3259151898661653
Morocco,Laâyoune - Boujdour - Sakia El Hamra,2019.0,4.0,0.0922463447642435,28.335081513613442,17.928359904424553,0.034901301403527325,0.32757907170544065
Morocco,Marrakech - Tensift - Al Haouz,2019.0,4.0,0.2405442265041197,31.281263218628276,14.62011033557336,0.03260546906690537,0.8075167444967771
Morocco,Rabat - Salé - Zemmour - Zaer,2019.0,4.0,0.41237580640129573,49.31415925093166,14.94230913610991,0.033808406294382316,2.0483500549942786
Morocco,Souss - Massa - Draâ,2019.0,4.0,0.15306727558947664,22.58791645047385,15.952496443320165,0.03015151782357612,0.49787407151084623
Morocco,Tadla - Azilal,2019.0,4.0,0.3440150682321329,69.64941128596013,11.080587413427866,0.029823297891833415,0.7480979660955978
Morocco,Tanger - Tétouan,2019.0,4.0,0.5228374728937104,77.41932799589203,13.49258366643818,0.03350174081359169,2.100265558157615
Morocco,Taza - Al Hoceima - Taounate,2019.0,4.0,0.3200898754438729,51.70179018124854,13.290947881163966,0.03212628760866911,0.7188320549724876
Morocco,Meknès - Tafilalet,2019.0,4.0,0.20381847461868702,42.48529987741681,14.857610899870352,0.02995519375259411,0.477736816325682
Morocco,Oriental,2019.0,4.0,0.17043926852618807,25.219905064536842,13.497760990556605,0.030641992878245265,0.6379759557329533
Morocco,Chaouia - Ouardigha,2019.0,5.0,0.20849813102077452,13.868058232864735,22.268359097300785,0.031068594417584895,1.278107230916612
Morocco,Doukkala - Abda,2019.0,5.0,0.23245265624810385,8.028834297152683,21.604165821370955,0.032068848566457094,1.1145351731158915
Morocco,Fès - Boulemane,2019.0,5.0,0.20210208764331805,15.662557434777582,19.264425004534267,0.028819578521057612,0.7923928883396208
Morocco,Gharb - Chrarda - Béni Hssen,2019.0,5.0,0.3791184083818518,10.45184098038583,21.75604831792239,0.03300213851389239,1.3762511576884884
Morocco,Grand Casablanca,2019.0,5.0,0.2343262352889076,9.593102005611433,20.828697146588212,0.033050184191251206,23.862740134520138
Morocco,Guelmim - Es-Semara,2019.0,5.0,0.09635986634452491,2.028684445068962,25.696253752480846,0.030421912851491397,0.2936700501033025
Morocco,Laâyoune - Boujdour - Sakia El Hamra,2019.0,5.0,0.08932048614979368,0.5278487304710582,19.517057455852896,0.03223014209138112,0.32496236859011457
Morocco,Marrakech - Tensift - Al Haouz,2019.0,5.0,0.2069941702304003,18.451714026211906,21.879280224696664,0.030177577957163824,0.8095416879269419
Morocco,Rabat - Salé - Zemmour - Zaer,2019.0,5.0,0.30127035512741945,12.916807868100008,21.125408279824338,0.031457781297221946,2.107739481994266
Morocco,Souss - Massa - Draâ,2019.0,5.0,0.1440430947077077,13.452954533971255,22.90275136477051,0.028261528467074574,0.43280444779155763
Morocco,Tadla - Azilal,2019.0,5.0,0.3098145525325573,27.94891300782277,19.129971014609218,0.028042429442899856,0.7311504730835451
Morocco,Tanger - Tétouan,2019.0,5.0,0.4664930257808668,10.337620298042,18.827860128844385,0.03142591262214027,2.110917313314612
Morocco,Taza - Al Hoceima - Taounate,2019.0,5.0,0.2637926899602062,11.832611076302902,19.89111283805344,0.030248296828091343,0.7228552097936224
Morocco,Meknès - Tafilalet,2019.0,5.0,0.17960549716031746,17.04956304972553,22.3255886157617,0.028316139372374587,0.44543587236718063
Morocco,Oriental,2019.0,5.0,0.15896931233925238,19.722281437709505,20.42846274489947,0.029158765923234554,0.6023306301291275
Morocco,Chaouia - Ouardigha,2019.0,6.0,0.19567725255267593,2.0669674250130226,21.473460855087268,0.028732097229890282,1.3205436883718393
Morocco,Doukkala - Abda,2019.0,6.0,0.2174660858704516,1.2850363509011165,20.916047682536423,0.02957483099069794,1.1219575062915261
